t,test,Phase,Marqueur,BF,V'O2,V'CO2,V'O2/kg,V'O2/FC,FC,TT,V'E/V'O2,V'E/V'CO2,RER,V'E,VT,SpO2,VE'max,VD(est),FECO2,FEO2,P(A-a)O2,P(a-et) CO2(est.),PaCO2(est.),PaO2,PetO2,PetCO2,tE,tI,VD/VT(est),V'E/MVV,VB (est. V'O2max),DE,EE/BSA,EE/CT,EE/kg,EE/kg_Lean
"0:58:53,300",FTP60,Exercice,,39,3.81,3.54,42,25,154,-,28.0,30.1,0.93,113.5,2.88,-,4.9,328,3.9,16.8,-,-4,33,-,111,37,0.8,0.7,0.11,0.64,170.4,1126,530,-,12,12
"0:58:54,820",FTP60,Exercice,,39,3.83,3.58,42,25,154,-,27.8,29.8,0.93,113.5,2.88,-,5.0,294,3.9,16.8,-,-4,32,-,111,37,0.8,0.7,0.10,0.64,170.8,1134,533,-,12,12
"0:58:56,340",FTP60,Exercice,,39,3.78,3.53,41,25,154,-,27.8,29.8,0.93,112.0,2.88,-,5.1,295,4.0,16.8,-,-4,32,-,111,37,0.8,0.7,0.10,0.64,169.9,1119,526,-,12,12
"0:58:57,880",FTP60,Exercice,,39,3.88,3.60,43,25,154,-,27.2,29.3,0.93,112.0,2.88,-,5.1,247,4.0,16.8,-,-4,32,-,111,37,0.8,0.7,0.09,0.64,171.5,1146,539,-,13,13
"0:58:59,540",FTP60,Exercice,,39,3.93,3.63,43,26,154,-,26.9,29.1,0.92,112.3,2.88,-,5.1,233,4.0,16.8,-,-4,32,-,111,37,0.8,0.7,0.08,0.64,172.4,1159,545,-,13,13
"0:59:01,120",FTP60,Exercice,,39,3.96,3.71,43,26,155,-,27.0,28.8,0.94,113.5,2.91,-,5.0,203,4.0,16.8,-,-4,32,-,111,37,0.8,0.7,0.07,0.64,171.8,1172,551,-,13,13
"0:59:02,660",FTP60,Exercice,,39,3.96,3.71,43,26,155,-,27.0,28.8,0.94,113.5,2.91,-,5.0,187,4.0,16.8,-,-4,32,-,112,36,0.8,0.7,0.06,0.64,171.8,1173,551,-,13,13
"0:59:04,160",FTP60,Exercice,,39,3.96,3.71,43,26,155,-,27.0,28.8,0.94,113.5,2.91,-,5.2,166,4.0,16.8,-,-4,32,-,112,36,0.9,0.7,0.06,0.64,171.8,1173,551,-,13,13
"0:59:05,980",FTP60,Exercice,,39,4.00,3.79,44,26,155,-,27.1,28.6,0.95,115.1,2.96,-,5.2,149,4.0,16.8,-,-4,32,-,112,36,0.9,0.7,0.05,0.65,172.5,1187,558,-,13,13
"0:59:07,400",FTP60,Exercice,,39,3.97,3.71,44,26,155,-,26.9,28.8,0.93,113.5,2.91,-,5.0,187,4.1,16.8,-,-4,32,-,112,36,0.9,0.7,0.06,0.64,172.1,1176,553,-,13,13
"0:59:08,840",FTP60,Exercice,,39,3.98,3.71,44,26,155,-,26.9,28.9,0.93,113.8,2.92,-,5.2,194,4.0,16.8,-,-4,32,-,112,36,0.9,0.7,0.07,0.65,172.2,1178,554,-,13,13
"0:59:10,380",FTP60,Exercice,,40,4.09,3.81,45,26,156,-,26.9,28.9,0.93,116.9,2.92,-,5.2,194,4.0,16.8,-,-4,32,-,112,36,0.8,0.7,0.07,0.66,172.8,1209,569,-,13,13
"0:59:12,220",FTP60,Exercice,,40,4.08,3.77,45,26,156,-,27.0,29.2,0.92,116.9,2.92,-,5.2,204,4.0,16.8,-,-4,32,-,112,36,0.8,0.7,0.07,0.66,172.7,1204,566,-,13,13
"0:59:13,900",FTP60,Exercice,,40,4.07,3.76,45,26,156,-,27.0,29.2,0.93,116.6,2.91,-,5.2,215,4.0,16.8,-,-4,32,-,112,36,0.8,0.7,0.07,0.66,172.5,1200,565,-,13,13
"0:59:15,340",FTP60,Exercice,,39,3.87,3.70,42,25,156,-,27.6,28.8,0.96,113.4,2.87,-,5.2,190,4.0,16.8,-,-4,32,-,112,36,0.9,0.7,0.07,0.64,169.3,1151,541,-,13,13
"0:59:16,840",FTP60,Exercice,,39,4.02,3.71,44,26,156,-,26.9,29.1,0.92,114.8,2.91,-,5.2,226,4.0,16.7,-,-4,32,-,111,37,0.9,0.7,0.08,0.65,171.8,1187,558,-,13,13
"0:59:18,300",FTP60,Exercice,,40,4.09,3.77,45,26,156,-,26.9,29.2,0.92,116.9,2.92,-,5.2,235,4.1,16.6,-,-4,32,-,110,37,0.8,0.7,0.08,0.66,172.8,1206,567,-,13,13
"0:59:19,820",FTP60,Exercice,,41,4.20,3.87,46,27,156,-,26.9,29.2,0.92,120.1,2.92,-,5.3,225,4.0,16.7,-,-4,32,-,111,36,0.8,0.7,0.08,0.68,174.6,1239,582,-,14,14
"0:59:22,220",FTP60,Exercice,,41,4.20,3.87,46,27,156,-,27.5,29.8,0.92,122.3,2.98,-,5.3,267,4.0,16.8,-,-4,32,-,112,36,0.8,0.6,0.09,0.69,174.6,1239,583,-,14,14
"0:59:23,600",FTP60,Exercice,,41,4.03,3.85,44,26,156,-,28.7,30.0,0.96,122.5,2.98,-,5.3,260,3.9,16.8,-,-4,32,-,112,36,0.8,0.6,0.09,0.70,171.9,1199,564,-,13,13
"0:59:25,020",FTP60,Exercice,,41,4.03,3.85,44,26,155,-,28.7,30.0,0.96,122.5,2.98,-,5.3,276,3.9,17.0,-,-4,32,-,112,36,0.8,0.6,0.09,0.70,173.0,1198,564,-,13,13
"0:59:26,480",FTP60,Exercice,,41,3.98,3.85,44,26,155,-,28.7,29.6,0.97,120.9,2.98,-,5.3,247,3.9,16.8,-,-4,32,-,112,36,0.9,0.6,0.08,0.69,172.1,1187,558,-,13,13
"0:59:27,880",FTP60,Exercice,,41,4.10,3.90,45,26,155,-,28.2,29.6,0.95,122.5,2.98,-,5.3,252,4.1,16.7,-,-4,32,-,112,36,0.8,0.6,0.08,0.70,174.2,1219,573,-,13,13
"0:59:29,360",FTP60,Exercice,,41,4.33,3.98,47,28,155,-,27.5,29.9,0.92,126.1,3.07,-,5.3,275,4.1,16.7,-,-5,32,-,112,36,0.8,0.6,0.09,0.72,177.7,1276,600,-,14,14
"0:59:30,980",FTP60,Exercice,,41,4.27,3.92,47,28,155,-,27.5,30.0,0.92,124.5,3.07,-,5.4,267,4.0,16.8,-,-5,32,-,112,36,0.9,0.6,0.09,0.71,176.8,1259,592,-,14,14
"0:59:33,380",FTP60,Exercice,,41,4.05,3.85,44,26,155,-,29.0,30.5,0.95,124.5,3.07,-,5.4,288,4.0,16.8,-,-5,31,-,112,36,0.9,0.6,0.09,0.71,173.3,1203,566,-,13,13
"0:59:34,660",FTP60,Exercice,,41,3.98,3.78,44,26,155,-,29.6,31.1,0.95,124.4,3.07,-,5.4,348,4.0,16.9,-,-5,32,-,112,36,0.9,0.6,0.11,0.71,172.1,1181,555,-,13,13
"0:59:36,200",FTP60,Exercice,,40,3.92,3.73,43,25,155,-,29.6,31.1,0.95,122.7,3.07,-,5.4,364,4.0,16.8,-,-5,32,-,112,36,0.9,0.7,0.12,0.70,171.2,1165,548,-,13,13
"0:59:37,840",FTP60,Exercice,,40,3.92,3.73,43,25,155,-,27.2,28.7,0.95,113.7,2.84,-,5.4,215,4.1,16.7,-,-4,33,-,112,37,0.8,0.7,0.08,0.65,171.2,1165,548,-,13,13
"0:59:39,300",FTP60,Exercice,,41,4.10,3.83,45,26,155,-,26.8,28.7,0.93,116.8,2.84,-,5.4,215,4.1,16.7,-,-4,33,-,112,37,0.8,0.6,0.08,0.66,174.2,1214,571,-,13,13
"0:59:40,740",FTP60,Exercice,,42,4.10,3.88,45,26,155,-,27.2,28.7,0.95,118.4,2.84,-,5.4,170,4.0,16.8,-,-4,32,-,112,36,0.8,0.6,0.06,0.67,174.1,1216,572,-,13,13
"0:59:42,240",FTP60,Exercice,,42,3.98,3.78,44,26,155,-,29.3,30.9,0.95,123.9,2.97,-,5.4,338,4.0,16.9,-,-4,32,-,112,36,0.8,0.6,0.11,0.70,172.2,1182,556,-,13,13
"0:59:43,660",FTP60,Exercice,,42,3.97,3.78,44,26,155,-,28.1,29.5,0.95,118.4,2.84,-,5.4,228,4.0,16.9,-,-4,32,-,112,36,0.8,0.6,0.08,0.67,172.0,1179,554,-,13,13
"0:59:45,080",FTP60,Exercice,,42,3.88,3.71,43,25,155,-,28.4,29.7,0.96,117.3,2.82,-,5.4,251,4.0,16.9,-,-4,32,-,112,36,0.8,0.6,0.09,0.67,170.5,1154,543,-,13,13
"0:59:46,520",FTP60,Exercice,,42,3.85,3.71,42,25,155,-,28.7,29.7,0.97,117.3,2.82,-,5.5,251,4.0,16.9,-,-4,32,-,112,36,0.8,0.6,0.09,0.67,169.9,1146,539,-,13,13
"0:59:47,960",FTP60,Exercice,,42,3.85,3.71,42,25,155,-,29.0,30.1,0.97,118.7,2.85,-,5.5,279,4.0,16.9,-,-4,32,-,113,36,0.8,0.6,0.10,0.67,169.9,1146,539,-,13,13
"0:59:49,520",FTP60,Exercice,,42,3.88,3.74,42,25,154,-,28.8,29.9,0.96,118.7,2.85,-,5.5,259,4.0,16.9,-,-4,32,-,113,36,0.8,0.6,0.09,0.67,171.5,1155,543,-,13,13
"0:59:50,860",FTP60,Exercice,,42,3.85,3.74,42,25,154,-,29.0,29.9,0.97,118.7,2.85,-,5.5,254,3.9,17.0,-,-4,32,-,113,36,0.8,0.6,0.09,0.67,171.0,1148,540,-,13,13
"0:59:52,280",FTP60,Exercice,,42,3.84,3.71,42,25,153,-,28.8,29.8,0.97,117.6,2.82,-,5.7,238,3.9,17.0,-,-4,32,-,113,36,0.8,0.6,0.08,0.67,172.0,1145,538,-,13,13
"0:59:53,720",FTP60,Exercice,,42,3.79,3.67,42,25,153,-,29.1,30.1,0.97,117.3,2.82,-,5.5,262,3.9,17.0,-,-4,32,-,113,36,0.8,0.6,0.09,0.67,171.2,1131,532,-,12,12
"0:59:55,200",FTP60,Exercice,,42,3.76,3.63,41,25,152,-,28.9,29.9,0.97,115.8,2.78,-,5.0,263,4.0,17.0,-,-4,32,-,113,36,0.8,0.6,0.09,0.66,171.6,1120,527,-,12,12
"0:59:56,580",FTP60,Exercice,,42,3.81,3.65,42,25,152,-,28.6,29.9,0.96,116.3,2.75,-,4.9,263,4.0,17.0,-,-4,32,-,113,36,0.7,0.6,0.10,0.66,172.6,1133,533,-,12,12
"0:59:57,920",FTP60,Exercice,,42,3.81,3.65,42,25,152,-,28.6,29.9,0.96,116.3,2.75,-,4.9,263,4.0,17.0,-,-4,32,-,113,36,0.7,0.6,0.10,0.66,172.6,1133,533,-,12,12
"0:59:59,380",FTP60,Exercice,,42,3.75,3.60,41,25,152,-,28.7,29.9,0.96,114.7,2.75,-,4.9,263,3.9,17.0,-,-4,32,-,112,36,0.8,0.6,0.10,0.65,171.6,1117,525,-,12,12
"1:00:01,780",FTP60,Exercice,,41,3.82,3.55,42,25,152,-,27.8,29.9,0.93,113.1,2.75,-,5.4,263,3.9,17.0,-,-4,32,-,112,36,0.8,0.6,0.10,0.64,172.8,1129,531,-,12,12
"1:00:03,140",FTP60,Exercice,,41,3.84,3.55,42,25,152,-,28.4,30.7,0.92,116.0,2.82,-,5.2,312,3.8,17.0,-,-4,32,-,113,36,0.8,0.6,0.11,0.66,173.2,1134,533,-,12,12
"1:00:04,520",FTP60,Exercice,,41,3.84,3.60,42,25,152,-,29.8,31.7,0.94,121.4,2.95,-,5.4,372,3.8,17.0,-,-4,31,-,113,36,0.8,0.6,0.13,0.69,173.2,1138,535,-,12,12
"1:00:05,980",FTP60,Exercice,,41,3.84,3.60,42,25,152,-,29.8,31.7,0.94,121.4,2.95,-,5.4,372,3.8,17.0,-,-4,31,-,113,36,0.8,0.6,0.13,0.69,173.2,1138,535,-,12,12
"1:00:07,440",FTP60,Exercice,,41,3.84,3.60,42,25,151,-,29.8,31.7,0.94,121.4,2.95,-,5.4,362,3.8,17.0,-,-4,31,-,113,36,0.8,0.6,0.12,0.69,174.4,1138,535,-,12,12
"1:00:08,960",FTP60,Exercice,,41,3.84,3.61,42,25,151,-,29.8,31.7,0.94,121.4,2.95,-,5.4,356,3.8,17.0,-,-4,31,-,113,36,0.8,0.6,0.12,0.69,174.4,1139,535,-,12,12
"1:00:10,400",FTP60,Exercice,,41,3.84,3.73,42,25,151,-,30.0,30.9,0.97,122.3,2.98,-,5.4,297,3.8,17.0,-,-4,31,-,113,36,0.8,0.6,0.10,0.69,174.4,1147,539,-,13,13
"1:00:11,840",FTP60,Exercice,,41,3.74,3.56,41,25,151,-,30.4,31.9,0.95,120.6,2.98,-,5.4,369,3.8,17.1,-,-4,31,-,114,35,0.8,0.6,0.12,0.68,172.5,1112,523,-,12,12
"1:00:13,340",FTP60,Exercice,,40,3.69,3.52,40,24,151,-,30.4,31.9,0.95,119.0,2.98,-,5.4,374,3.8,17.1,-,-4,31,-,114,36,0.9,0.6,0.13,0.68,171.6,1097,516,-,12,12
"1:00:14,820",FTP60,Exercice,,40,3.63,3.51,40,24,151,-,30.7,31.7,0.97,118.0,2.95,-,5.4,359,3.8,17.1,-,-4,31,-,114,36,0.9,0.6,0.12,0.67,170.4,1082,509,-,12,12
"1:00:16,320",FTP60,Exercice,,41,3.68,3.45,40,24,151,-,29.7,31.7,0.94,116.1,2.86,-,5.4,375,3.9,17.0,-,-4,32,-,113,36,0.8,0.6,0.13,0.66,171.3,1088,512,-,12,12
"1:00:17,820",FTP60,Exercice,,41,3.73,3.44,41,25,151,-,29.0,31.3,0.92,114.8,2.83,-,5.2,382,3.9,17.0,-,-4,32,-,113,36,0.8,0.6,0.13,0.65,172.3,1100,517,-,12,12
"1:00:20,320",FTP60,Exercice,,41,3.73,3.44,41,25,151,-,28.1,30.4,0.92,111.7,2.76,-,5.0,317,3.9,16.9,-,-4,32,-,112,36,0.8,0.6,0.11,0.63,172.3,1100,517,-,12,12
"1:00:21,680",FTP60,Exercice,,41,3.78,3.50,41,25,151,-,29.2,31.5,0.93,117.4,2.86,-,5.2,395,3.9,16.9,-,-4,32,-,112,36,0.8,0.6,0.14,0.67,173.2,1116,525,-,12,12
"1:00:23,140",FTP60,Exercice,,41,3.78,3.50,41,25,151,-,29.2,31.5,0.93,117.4,2.86,-,5.2,362,3.9,16.9,-,-4,32,-,113,36,0.8,0.6,0.13,0.67,173.2,1116,525,-,12,12
"1:00:24,520",FTP60,Exercice,,41,3.78,3.50,41,25,151,-,29.2,31.5,0.93,117.4,2.86,-,5.2,362,3.8,16.9,-,-4,32,-,113,36,0.8,0.6,0.13,0.67,173.2,1116,525,-,12,12
"1:00:25,920",FTP60,Exercice,,41,3.84,3.55,42,25,151,-,28.7,31.1,0.92,117.4,2.86,-,5.2,371,3.9,16.9,-,-4,32,-,112,36,0.8,0.6,0.13,0.67,174.4,1134,533,-,12,12
"1:00:27,380",FTP60,Exercice,,41,3.78,3.50,41,25,151,-,28.1,30.3,0.93,113.2,2.76,-,5.0,295,3.8,16.9,-,-4,32,-,112,36,0.8,0.6,0.11,0.64,173.2,1116,525,-,12,12
"1:00:28,840",FTP60,Exercice,,41,3.84,3.55,42,25,151,-,28.7,31.1,0.92,117.4,2.86,-,5.0,348,3.8,17.0,-,-4,32,-,112,36,0.8,0.6,0.12,0.67,174.4,1134,533,-,12,12
"1:00:30,360",FTP60,Exercice,,41,3.90,3.71,43,26,151,-,28.3,29.8,0.95,117.6,2.86,-,5.2,226,3.8,17.0,-,-4,32,-,113,36,0.8,0.7,0.08,0.67,175.4,1159,545,-,13,13
"1:00:32,120",FTP60,Exercice,,41,3.84,3.71,42,25,151,-,28.8,29.8,0.97,117.6,2.86,-,5.4,190,3.8,17.0,-,-4,31,-,113,35,0.8,0.7,0.07,0.67,174.4,1146,539,-,13,13
"1:00:33,580",FTP60,Exercice,,41,3.84,3.71,42,25,151,-,28.8,29.8,0.97,117.6,2.86,-,5.4,184,3.8,17.0,-,-4,31,-,113,35,0.8,0.7,0.06,0.67,174.4,1146,539,-,13,13
"1:00:35,100",FTP60,Exercice,,41,3.85,3.71,42,25,151,-,28.8,29.8,0.97,117.6,2.86,-,5.4,190,3.8,17.1,-,-4,31,-,113,35,0.9,0.6,0.07,0.67,174.4,1146,539,-,13,13
"1:00:37,160",FTP60,Exercice,,41,3.55,3.36,39,23,151,-,29.7,31.3,0.95,112.2,2.73,-,5.4,314,3.8,17.1,-,-4,31,-,113,35,0.9,0.6,0.12,0.64,168.8,1053,495,-,12,12
"1:00:38,480",FTP60,Exercice,,41,3.55,3.36,39,23,151,-,29.3,30.9,0.95,110.8,2.70,-,5.4,308,3.8,17.1,-,-4,32,-,113,36,0.9,0.6,0.11,0.63,168.8,1052,495,-,12,12
"1:00:39,760",FTP60,Exercice,,41,3.55,3.36,39,23,151,-,29.3,30.9,0.95,110.8,2.70,-,5.4,308,3.8,17.1,-,-4,32,-,113,36,0.8,0.6,0.11,0.63,168.8,1052,495,-,12,12
"1:00:41,220",FTP60,Exercice,,41,3.76,3.49,41,25,151,-,27.3,29.3,0.93,109.3,2.70,-,5.4,188,3.8,17.0,-,-4,32,-,113,36,0.8,0.6,0.07,0.62,172.8,1110,522,-,12,12
"1:00:42,540",FTP60,Exercice,,41,3.55,3.20,39,23,151,-,28.8,31.9,0.90,109.1,2.69,-,5.4,377,3.9,17.0,-,-4,32,-,113,36,0.8,0.6,0.14,0.62,168.8,1041,490,-,11,11
"1:00:44,180",FTP60,Exercice,,41,3.59,3.25,39,24,151,-,28.6,31.6,0.90,109.8,2.67,-,5.2,372,3.9,16.9,-,-4,32,-,112,36,0.8,0.6,0.14,0.62,169.7,1055,496,-,12,12
"1:00:45,660",FTP60,Exercice,,41,3.80,3.54,42,25,151,-,27.2,29.3,0.93,110.6,2.69,-,5.2,221,3.9,16.8,-,-4,32,-,111,36,0.8,0.6,0.08,0.63,173.7,1124,529,-,12,12
"1:00:47,180",FTP60,Exercice,,41,3.76,3.59,41,25,151,-,27.2,28.6,0.95,109.3,2.70,-,5.2,163,3.9,16.8,-,-4,32,-,111,36,0.8,0.6,0.06,0.62,172.8,1118,526,-,12,12
"1:00:49,780",FTP60,Exercice,,41,3.76,3.59,41,25,151,-,27.2,28.6,0.95,109.3,2.70,-,4.9,163,3.9,16.8,-,-4,32,-,111,36,0.8,0.6,0.06,0.62,172.8,1118,526,-,12,12
"1:00:51,220",FTP60,Exercice,,41,3.76,3.59,41,25,151,-,28.1,29.4,0.95,112.5,2.77,-,4.9,228,3.9,16.8,-,-4,32,-,111,36,0.8,0.6,0.08,0.64,172.8,1118,526,-,12,12
"1:00:52,620",FTP60,Exercice,,42,3.86,3.59,42,26,151,-,28.4,30.6,0.93,116.8,2.80,-,5.5,292,3.9,16.9,-,-4,32,-,112,36,0.8,0.6,0.10,0.66,174.6,1140,536,-,13,13
"1:00:54,100",FTP60,Exercice,,42,3.65,3.45,40,24,151,-,29.8,31.4,0.95,115.6,2.77,-,4.9,378,3.9,16.8,-,-4,32,-,111,36,0.8,0.6,0.14,0.66,170.7,1082,509,-,12,12
"1:00:55,420",FTP60,Exercice,,43,3.75,3.54,41,25,151,-,28.6,30.3,0.95,114.5,2.67,-,5.4,277,3.9,16.9,-,-4,32,-,112,36,0.8,0.6,0.10,0.65,172.6,1111,523,-,12,12
"1:00:56,780",FTP60,Exercice,,43,3.75,3.55,41,25,151,-,30.1,31.8,0.95,120.1,2.80,-,5.4,376,3.8,17.0,-,-4,32,-,112,36,0.8,0.6,0.13,0.68,172.7,1113,524,-,12,12
"1:00:58,140",FTP60,Exercice,,43,3.74,3.54,41,25,151,-,30.2,31.9,0.95,120.1,2.80,-,5.5,355,3.7,17.0,-,-4,31,-,112,35,0.8,0.6,0.13,0.68,172.5,1110,522,-,12,12
"1:00:59,760",FTP60,Exercice,,43,3.76,3.58,41,25,150,-,29.0,30.4,0.95,116.2,2.67,-,5.4,253,3.7,17.1,-,-4,32,-,113,35,0.8,0.6,0.09,0.66,173.9,1116,525,-,12,12
"1:01:01,160",FTP60,Exercice,,44,3.81,3.63,42,25,150,-,29.0,30.4,0.95,117.9,2.67,-,5.4,243,3.7,17.1,-,-4,31,-,113,35,0.8,0.6,0.09,0.67,175.0,1133,533,-,12,12
"1:01:02,700",FTP60,Exercice,,43,3.80,3.59,42,25,150,-,30.2,31.9,0.95,121.8,2.80,-,5.5,355,3.7,17.1,-,-4,31,-,113,35,0.8,0.6,0.13,0.69,174.7,1126,530,-,12,12
"1:01:04,000",FTP60,Exercice,,43,3.74,3.54,41,25,150,-,30.8,32.5,0.95,122.4,2.86,-,5.8,400,3.7,17.1,-,-4,31,-,113,35,0.8,0.6,0.14,0.69,173.7,1110,522,-,12,12
"1:01:05,380",FTP60,Exercice,,41,3.57,3.44,39,24,150,-,30.9,32.0,0.96,117.0,2.89,-,5.8,364,3.7,17.1,-,-4,31,-,113,35,0.8,0.6,0.13,0.66,170.4,1064,500,-,12,12
"1:01:06,700",FTP60,Exercice,,41,3.62,3.45,40,24,151,-,30.9,32.4,0.95,118.7,2.93,-,5.8,391,3.7,17.1,-,-4,31,-,113,35,0.8,0.6,0.13,0.67,170.2,1075,506,-,12,12
"1:01:08,500",FTP60,Exercice,,40,3.57,3.41,39,24,151,-,30.9,32.4,0.95,117.2,2.93,-,5.8,391,3.7,17.1,-,-4,31,-,113,35,0.8,0.7,0.13,0.66,169.3,1061,499,-,12,12
"1:01:09,980",FTP60,Exercice,,40,3.57,3.41,39,24,151,-,30.4,31.9,0.95,115.5,2.89,-,5.8,356,3.7,17.1,-,-4,31,-,113,35,0.8,0.7,0.12,0.66,169.3,1061,499,-,12,12
"1:01:11,520",FTP60,Exercice,,40,3.57,3.41,39,24,151,-,30.4,31.9,0.95,115.5,2.89,-,5.7,390,3.8,17.0,-,-4,32,-,113,36,0.8,0.7,0.14,0.66,169.3,1061,499,-,12,12
"1:01:13,880",FTP60,Exercice,,39,3.69,3.51,40,24,151,-,28.7,30.2,0.95,112.5,2.89,-,5.7,280,3.9,16.9,-,-4,32,-,112,36,0.8,0.7,0.10,0.64,171.6,1097,516,-,12,12
"1:01:15,380",FTP60,Exercice,,39,3.69,3.51,40,24,152,-,28.0,29.5,0.95,110.0,2.82,-,5.7,271,3.9,16.9,-,-4,33,-,112,37,0.8,0.7,0.10,0.62,170.5,1096,516,-,12,12
"1:01:16,960",FTP60,Exercice,,40,3.65,3.39,40,24,152,-,27.5,29.5,0.93,107.0,2.68,-,5.7,282,4.0,16.8,-,-4,33,-,111,37,0.8,0.7,0.11,0.61,169.6,1078,507,-,12,12
"1:01:18,440",FTP60,Exercice,,40,3.65,3.37,40,24,152,-,26.8,29.1,0.92,104.7,2.62,-,5.5,258,4.0,16.8,-,-4,33,-,111,37,0.8,0.7,0.10,0.59,169.6,1076,506,-,12,12
"1:01:20,540",FTP60,Exercice,,40,3.60,3.28,40,24,152,-,26.6,29.2,0.91,102.6,2.57,-,5.0,274,4.0,16.8,-,-4,33,-,111,37,0.8,0.7,0.11,0.58,168.8,1060,499,-,12,12
"1:01:21,860",FTP60,Exercice,,41,3.65,3.32,40,24,152,-,26.6,29.2,0.91,104.0,2.57,-,5.0,274,4.0,16.8,-,-4,33,-,111,37,0.8,0.7,0.11,0.59,169.7,1074,505,-,12,12
"1:01:23,280",FTP60,Exercice,,42,3.85,3.54,42,26,151,-,26.6,29.0,0.92,109.8,2.60,-,5.4,258,4.0,16.8,-,-4,33,-,110,37,0.8,0.7,0.10,0.62,174.5,1135,534,-,12,12
"1:01:24,700",FTP60,Exercice,,42,3.85,3.54,42,26,151,-,26.6,29.0,0.92,109.8,2.60,-,5.4,258,4.0,16.8,-,-4,33,-,110,37,0.8,0.7,0.10,0.62,174.5,1135,534,-,12,12
"1:01:27,120",FTP60,Exercice,,42,4.00,3.56,44,27,151,-,25.6,28.8,0.89,109.8,2.60,-,5.4,241,4.0,16.8,-,-4,33,-,110,37,0.8,0.7,0.09,0.62,177.1,1171,551,-,13,13
"1:01:28,320",FTP60,Exercice,,42,3.96,3.56,43,26,151,-,26.7,29.7,0.90,113.0,2.68,-,5.4,286,3.9,16.8,-,-4,33,-,111,37,0.8,0.7,0.11,0.64,176.4,1162,546,-,13,13
"1:01:29,600",FTP60,Exercice,,42,3.91,3.58,43,26,151,-,28.6,31.2,0.92,118.9,2.86,-,5.3,374,3.8,16.9,-,-4,32,-,111,36,0.8,0.7,0.13,0.68,175.5,1151,541,-,13,13
"1:01:31,120",FTP60,Exercice,,42,3.95,3.59,43,26,151,-,28.5,31.3,0.91,119.6,2.87,-,5.3,380,3.8,16.9,-,-4,32,-,111,36,0.8,0.7,0.13,0.68,176.2,1161,546,-,13,13
"1:01:32,640",FTP60,Exercice,,41,3.90,3.54,43,26,151,-,29.2,32.1,0.91,120.8,2.94,-,5.3,416,3.8,17.0,-,-4,32,-,112,36,0.8,0.7,0.14,0.69,175.3,1146,539,-,13,13
"1:01:34,080",FTP60,Exercice,,41,3.90,3.54,43,26,152,-,29.2,32.1,0.91,120.8,2.94,-,5.3,416,3.8,17.0,-,-4,32,-,112,36,0.8,0.7,0.14,0.69,174.1,1146,539,-,13,13
"1:01:35,540",FTP60,Exercice,,41,3.86,3.54,42,25,152,-,29.5,32.1,0.92,120.8,2.94,-,5.3,377,3.8,17.1,-,-4,31,-,113,35,0.8,0.7,0.13,0.69,173.5,1137,535,-,12,12
"1:01:36,980",FTP60,Exercice,,41,3.73,3.56,41,25,152,-,30.5,32.0,0.96,120.8,2.94,-,5.3,365,3.8,17.1,-,-4,31,-,113,35,0.8,0.7,0.12,0.69,171.1,1109,521,-,12,12
"1:01:38,520",FTP60,Exercice,,42,3.74,3.59,41,25,152,-,30.2,31.4,0.96,120.0,2.88,-,5.3,321,3.8,17.1,-,-4,31,-,113,35,0.8,0.7,0.11,0.68,171.4,1115,524,-,12,12
"1:01:40,020",FTP60,Exercice,,42,3.71,3.53,41,24,153,-,30.2,31.6,0.95,118.9,2.86,-,5.3,314,3.7,17.1,-,-4,31,-,114,35,0.8,0.6,0.11,0.68,169.6,1102,518,-,12,12
"1:01:41,420",FTP60,Exercice,,42,3.72,3.57,41,24,153,-,30.5,31.8,0.96,120.5,2.85,-,5.2,347,3.7,17.1,-,-4,31,-,113,35,0.8,0.6,0.12,0.68,169.9,1108,521,-,12,12
"1:01:42,840",FTP60,Exercice,,43,3.76,3.58,41,24,154,-,30.0,31.6,0.95,120.2,2.81,-,5.2,339,3.7,17.1,-,-4,31,-,113,35,0.8,0.6,0.12,0.68,169.5,1117,525,-,12,12
"1:01:44,240",FTP60,Exercice,,43,3.64,3.48,40,24,154,-,27.4,28.7,0.96,107.1,2.50,-,4.9,157,3.7,17.1,-,-3,32,-,113,36,0.8,0.6,0.06,0.61,167.3,1083,509,-,12,12
"1:01:45,560",FTP60,Exercice,,45,3.59,3.37,39,23,154,-,29.1,31.0,0.94,112.4,2.47,-,4.9,330,3.8,17.0,-,-3,32,-,112,36,0.7,0.6,0.13,0.64,166.4,1065,501,-,12,12
"1:01:46,840",FTP60,Exercice,,47,3.68,3.46,40,24,154,-,29.3,31.2,0.94,116.0,2.47,-,4.9,334,3.7,17.1,-,-3,32,-,113,36,0.7,0.6,0.13,0.66,168.1,1091,513,-,12,12
"1:01:48,120",FTP60,Exercice,,47,3.68,3.46,40,24,154,-,29.3,31.2,0.94,116.0,2.47,-,4.9,334,3.8,17.0,-,-3,32,-,113,36,0.7,0.6,0.13,0.66,168.1,1091,513,-,12,12
"1:01:49,380",FTP60,Exercice,,47,3.68,3.46,40,24,154,-,29.3,31.2,0.94,116.0,2.47,-,4.9,309,3.7,17.1,-,-3,32,-,113,35,0.7,0.6,0.13,0.66,168.1,1091,513,-,12,12
